"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Branch Mispredict","Machine Clears","L1 Bound","L2 Bound","L3 Bound","DRAM Bound","Store Bound","Core Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"k2_parallel_division._omp_fn.0","216.481","755755200000","668573900000","1.1304","0.51441","0.120832","0.320871","0.000352584","0.141354","0.00019215","0","0","0","0.0357109","3.49109e+09","primes_omp","k2_parallel_division._omp_fn.0","primes2.c","0x2060"
"k1_sequential_division","154.423","539322500000","668456100000","0.806818","0.36437","0.202295","0.362666","0","0.0853639","","0","","0","0.0598455","3.4925e+09","primes_omp","k1_sequential_division","primes2.c","0x2fe0"
"k4a_parallel_sieve_functional_fs._omp_fn.0","6.82079","21204000000","6572000000","3.22642","0.0702852","0.39587","0.133684","0","0.119774","0","0.0376809","0.41818","0","0.128807","3.10873e+09","primes_omp","k4a_parallel_sieve_functional_fs._omp_fn.0","primes2.c","0x26c0"
"[vmlinux]","3.45746","12130300000","7316000000","1.65805","0.460429","0.428923","0.0234933","0.0176728","0.0720566","0.0539402","0.0539811","0.00598739","0.0180159","0.0485114","3.50844e+09","vmlinux","[vmlinux]","[Unknown]","0"
"k4_parallel_sieve_functional._omp_fn.0","3.06996","10710500000","4894900000","2.18809","0.111574","0.0514715","0","0.00645654","0","4.67452e-12","0","0.0204041","1","0.427064","3.48881e+09","primes_omp","k4_parallel_sieve_functional._omp_fn.0","primes2.c","0x2260"
"k3_sequential_sieve","2.73553","9513900000","5418800000","1.75572","0.109109","0.0057426","0","0.0038284","0","0","0.0153136","0.0076568","0.819277","0.452217","3.4779e+09","primes_omp","k3_sequential_sieve","primes2.c","0x37a0"
"func@0x25684","1.44086","4777100000","198400000","24.0781","0.083648","0.0151995","-0","0","0","0","0","0","0","0.931584","3.31546e+09","libgomp.so.1.0.0","func@0x25684","[Unknown]","0x25684"
"k5_parallel_sieve_domain._omp_fn.0","1.26864","4457800000","4922800000","0.905542","0.358576","0.252645","0","0.07344","0.0162925","0","0","0","0.456519","0.198422","3.51385e+09","primes_omp","k5_parallel_sieve_domain._omp_fn.0","primes2.c","0x2b60"
"k3a_sequential_sieve_local","0.843087","2929500000","5456000000","0.536932","0.183107","0.00678174","0","0.0271269","0.0248664","","0","","0.0994655","0.631426","3.47473e+09","primes_omp","k3a_sequential_sieve_local","primes2.c","0x1474"
"func@0x25824","0.438565","1503500000","80600000","18.6538","0","0","0","0.0242255","0","0","0","0","0","0.975775","3.42822e+09","libgomp.so.1.0.0","func@0x25824","[Unknown]","0x25824"
"k5_parallel_sieve_domain._omp_fn.1","0.191247","672700000","508400000","1.32317","0.486113","0.432043","-0","0","0","0","0","0","0","0.136076","3.51745e+09","primes_omp","k5_parallel_sieve_domain._omp_fn.1","primes2.c","0x2c60"
"k4a_parallel_sieve_functional_fs._omp_fn.1","0.261337","669600000","508400000","1.31707","1","1","-0","0","0.759702","0","0","0","0","0","2.56221e+09","primes_omp","k4a_parallel_sieve_functional_fs._omp_fn.1","primes2.c","0x27e0"
"k4_parallel_sieve_functional._omp_fn.1","0.187241","654100000","530100000","1.23392","1","0.166839","-0","0","0","0","0","0","0","0","3.49335e+09","primes_omp","k4_parallel_sieve_functional._omp_fn.1","primes2.c","0x2340"
"__memset_avx2_unaligned_erms","0.0941214","418500000","6200000","67.5","0.261097","0.174065","-0","0","0.174065","0","0","0","0","0.369452","4.44639e+09","libc.so.6","__memset_avx2_unaligned_erms","memset-vec-unaligned-erms.S","0x189480"
"k2_parallel_division._omp_fn.1","0.0931201","344100000","260400000","1.32143","0.105365","0.633499","0","0.316264","0","0","0","0","0","0","3.69523e+09","primes_omp","k2_parallel_division._omp_fn.1","primes2.c","0x1ce0"
"func@0x12894","0.0210271","49600000","6200000","8","0","0","0","0.734335","1","0","0","0","0","0.000711143","2.35886e+09","libgomp.so.1.0.0","func@0x12894","[Unknown]","0x12894"
"GOMP_loop_dynamic_next","0.00400516","37200000","3100000","12","0","0","0","0","0","0","0","0","0","1","9.28801e+09","libgomp.so.1.0.0","GOMP_loop_dynamic_next","[Unknown]","0x14340"
"[kvm]","0.00600775","12400000","3100000","4","0","0","0","0","0","0","0","0","0","1","2.064e+09","kvm","[kvm]","[Unknown]","0"
"func@0x12834","0.00100129","9300000","0","","0","0","0","0","0","0","0","0","0","1","9.28801e+09","libgomp.so.1.0.0","func@0x12834","[Unknown]","0x12834"
"build_prime_array","0","6200000","3100000","2","0","0","0","0","0","0","0","0","0","1","","primes_omp","build_prime_array","primes2.c","0x3610"
"main","0","3100000","0","","0","0","0","0","0","0","0","0","0","1","","primes_omp","main","primes2.c","0x12a0"
"GOMP_loop_nonmonotonic_dynamic_start","0","3100000","0","","0","0","0","0","0","0","0","0","0","1","","libgomp.so.1.0.0","GOMP_loop_nonmonotonic_dynamic_start","[Unknown]","0x130c0"
"[i915]","0.00200258","3100000","0","","0","0","0","0","0","0","0","0","0","1","1.548e+09","i915","[i915]","[Unknown]","0"
"do_lookup_x","0","3100000","0","","0","0","0","0","0","0","0","0","0","1","","ld-linux-x86-64.so.2","do_lookup_x","dl-lookup.c","0xa530"
"__GI_","0","3100000","0","","0","0","0","0","0","0","0","0","0","1","","libc.so.6","__GI_(long, int, bool, char)","malloc.c","0xadd50"
"func@0x1254","0","3100000","0","","0","0","0","0","0","0","0","0","0","1","","primes_omp","func@0x1254","[Unknown]","0x1254"
"build_prime_array","0","3100000","6200000","0.5","0","0","0","0","0","0","0","0","0","1","","primes_omp","build_prime_array","primes2.c","0x3093"
"build_prime_array2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array2","primes2.c","0x385b"
"build_prime_array2","0.00100129","0","3100000","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array2","primes2.c","0x4344"
"[Unknown stack frame(s)]","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","[Unknown]","[Unknown stack frame(s)]","[Unknown]","0"
"build_prime_array2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array2","primes2.c","0x47eb"
"build_prime_array2","0.00100129","0","0","0","0","0","0","0","0","0","0","0","0","1","0","primes_omp","build_prime_array2","primes2.c","0x4594"
"func@0x1244","0","0","0","0","0","0","0","0","0","0","","","0","1","0","primes_omp","func@0x1244","[Unknown]","0x1244"
"[nvme]","0.00100129","0","0","0","0","0","0","0","0","0","0","0","0","1","0","nvme","[nvme]","[Unknown]","0"
