"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","FP x87","FP Scalar","FP Vector","Memory Operations","Fused Instructions","Non Fused Branches","Nop Instructions","Other","Few Uops Instructions","Assists","CISC","ICache Misses","ITLB Misses","Mispredicts Resteers","Clears Resteers","Unknown Branches","DSB Switches","Length Changing Prefixes","MS Switches","Decoder-0 Alone","Front-End Bandwidth DSB","(Info) DSB Coverage","(Info) DSB Misses","Branch Mispredict","Machine Clears","DTLB Overhead","Loads Blocked by Store Forwarding","Lock Latency","Split Loads","4K Aliasing","FB Full","L2 Bound","Contested Accesses","Data Sharing","L3 Latency","SQ Full","Memory Bandwidth","Memory Latency","Store Latency","False Sharing","Split Stores","Store STLB Hit","Store STLB Miss","Divider","Port Utilization","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"k2_parallel_division._omp_fn.0","611.449","2135782200000","1791186200000","1.19238","0.0206155","0","0","0.0469904","0.045344","0.039853","3.74795e-05","0.204564","0.0663903","0","0.0642897","3.42336e-05","6.83011e-06","0.079036","3.74328e-05","0.00104406","0.00119434","0","0.0915975","0.000819362","0.177085","0.871739","0.647935","0.347556","0.000164608","1","0","0","0","0","0","9.22074e-08","0","0","2.12811e-11","0","0.000375161","0.00549328","0.000712571","0","0","0.000307261","4.78005e-05","0.139033","0.498194","3.49298e+09","primes_omp","k2_parallel_division._omp_fn.0","primes2.c","0x2060"
"k1_sequential_division","426.588","1489060200000","1791102500000","0.831365","0.0145293","0","0","0.0336839","0.0329224","0.0290025","4.53852e-05","0.147732","0.0497386","0","0.0414835","9.77243e-05","0.000107498","0.0765994","1.64026e-05","0.000967498","0.00205221","0","0.15587","0.0014745","0.151284","0.867691","0.360195","0.374775","8.02521e-05","1","0","0","0","0","0","0","0","0","6.85673e-11","0","9.77243e-05","0.0117269","0.000288287","0","0","0.000199063","1.96606e-05","0.254181","0.269003","3.49063e+09","primes_omp","k1_sequential_division","primes2.c","0x2fe0"
"k4a_parallel_sieve_functional_fs._omp_fn.0","17.6748","47727600000","13373400000","3.56885","0","0","0","0.0195348","0.0285507","0.0245317","0","0.0468668","0","0","0.00179969","0.00152446","0.000152615","0.0565298","0.00148949","0","0.142025","0","0.00610453","0","0.0702458","0.379307","1","0.127215","0.00335195","1","0","0","0","0","1","5.75076e-05","0.0116812","0.0562203","0.0131689","0.131314","0.620126","0.131341","0.157271","0","0","0.00274712","0.00259706","0","0.194434","2.70032e+09","primes_omp","k4a_parallel_sieve_functional_fs._omp_fn.0","primes2.c","0x26c0"
"k4_parallel_sieve_functional._omp_fn.0","10.2102","35811200000","10025400000","3.57205","0","0","0","0.0167837","0.0193944","0.000973457","0","0.0289192","0.00138351","0","0.000630311","0","0","0","0.0040657","0.000914304","0.00203173","0","0.00406346","0","0.0424781","0.989475","0.275426","-0","0","0","0","0","0","0.00132077","1","3.49293e-12","0","0","6.36621e-10","0.052462","0","0.0630346","0.936685","0","0","0.0157403","0.413667","0","0.0505821","3.50741e+09","primes_omp","k4_parallel_sieve_functional._omp_fn.0","primes2.c","0x2260"
"[vmlinux]","8.63013","29995600000","19198300000","1.56241","0.000755493","0","0","0.0797354","0.0126954","0.0132274","0.00582245","0.0861395","0.0257984","0","0.0861354","0.0558653","0.0201459","0.0388396","0.024267","0.191148","0","0","0.111651","0.0529736","0.00165415","0.0464905","1","0.0438341","0.0273876","1","0.0078853","0.000809923","0","0.00230443","0.0438153","0","0.00746379","0.00879638","0.114273","0","0.349353","0.339923","0.0639876","0","0.00016542","0.0074439","0.0205181","0.0145711","0.321492","3.47568e+09","vmlinux","[vmlinux]","[Unknown]","0"
"k3_sequential_sieve","8.09644","28234800000","10989500000","2.56925","0","0","0","0.0179715","0.021187","0.000623605","0","0.0356186","0.00255088","0","0","0","0","0","0.00257691","0","0","0","0.00515383","0","0.0463845","1","0","0","0.00966343","0","0","0","0","0.00206159","1","2.77783e-12","0","0","8.02822e-10","0.0476729","0.0154615","0.0747305","0.958097","0","0","0.0150754","0.291844","0","0.0483932","3.48731e+09","primes_omp","k3_sequential_sieve","primes2.c","0x37a0"
"k5_parallel_sieve_domain._omp_fn.0","2.6354","9222500000","10143200000","0.90923","0","0","0","0.0962874","0.139527","0","0","0.136905","0.094604","0","0.00746248","0","0","0","0","0","0","0","0.0316344","0","0.189678","0.948096","0.00193875","0.0434643","0","0","0","0","0","0","0","","","","","0.0553282","0","0","0.906631","0","0","0.00713536","0.00316226","0.00789794","0.375815","3.49947e+09","primes_omp","k5_parallel_sieve_domain._omp_fn.0","primes2.c","0x2b60"
"k3a_sequential_sieve_local","1.74225","6113200000","11200300000","0.545807","0.00412264","0","0","0.0735666","0.107707","0.00554162","0","0.162958","0","0","0.00275951","0","0","0.0119019","0","0","0.0476076","0","0","0","0.202332","0.870229","0.231426","0.0505831","0","1","0","0","0","0","0.317375","8.17902e-11","0","0","7.46163e-09","0","0.0714114","0.0238038","1","0","0","0.00535601","0.00119022","0.0119019","0.290666","3.5088e+09","primes_omp","k3a_sequential_sieve_local","primes2.c","0x1474"
"func@0x25684","1.43785","4715100000","204600000","23.0455","0","0","0","0","0","0.000702968","0","0","0.0131057","0","0.0116007","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0232013","1","0","0","0","0","0","0","0","0","4.52063e-09","0","0","0.0309546","0","0","0","0","0","0","0.0308958","3.27926e+09","libgomp.so.1.0.0","func@0x25684","[Unknown]","0x25684"
"func@0x25824","0.450581","1636800000","65100000","25.1429","0","0","0","0","0","0.00399248","0","0.0158939","0.00236383","0","0.0222504","0","0","0","0","0","0","0","0","0.0445007","0","0.5","0","0","0","0","0","0","0","0","0","0","0","0","1.44258e-08","0","0","0.0890014","0","0","0","0","0","0","0","3.63264e+09","libgomp.so.1.0.0","func@0x25824","[Unknown]","0x25824"
